Municipio,Departamento,Aval Partidos 2011
Guayabetal,Cundinamarca,Firmas
Machetá,Cundinamarca,Firmas
Gama,Cundinamarca,PC
Fosca,Cundinamarca,PC
Junín,Cundinamarca,PC
La Calera,Cundinamarca,PC
Venecia,Cundinamarca,PC
Chocontá,Cundinamarca,PC
Cucunubá,Cundinamarca,PC
Pandi,Cundinamarca,PC
Quipile,Cundinamarca,PC
Sasaima,Cundinamarca,PC
Sibaté,Cundinamarca,PC
Simijaca,Cundinamarca,PC
Supatá,Cundinamarca,PC
Utica,Cundinamarca,PC
Cajicá,Cundinamarca,PC
Quetame,Cundinamarca,PC
San Francisco,Cundinamarca,PC
Tibirita,Cundinamarca,PIN
El Colegio,Cundinamarca,PL
Viota,Cundinamarca,PL
Bojacá,Cundinamarca,PL
Granada,Cundinamarca,PL
Tocaima,Cundinamarca,PL
Puerto Salgar,Cundinamarca,PL
San  Antonio del  Tequendama,Cundinamarca,PL
Topaipí,Cundinamarca,PL
Nariño,Cundinamarca,PL
Cabrera,Cundinamarca,PL
Anapoima,Cundinamarca,PL
Facatativa,Cundinamarca,PL
Nilo,Cundinamarca,PL
Pasca,Cundinamarca,PL
Ricaurte,Cundinamarca,PL
Zipaquirá,Cundinamarca,PL
Anolaima,Cundinamarca,PL
Cachipay,Cundinamarca,PL
Guataquí,Cundinamarca,PL
San Juan de Rioseco,Cundinamarca,PL
Silvania,Cundinamarca,PL
Viani,Cundinamarca,PL
Ubaque,Cundinamarca,U
Madrid,Cundinamarca,U
Ubaté,Cundinamarca,U
Carmen de Carupa,Cundinamarca,U
Medina,Cundinamarca,U
Tenjo,Cundinamarca,U
Tocancipá,Cundinamarca,U
Chaguaní,Cundinamarca,U
El Peñón,Cundinamarca,U
Guatavita,Cundinamarca,U
La Peña,Cundinamarca,U
Pacho,Cundinamarca,U
Subachoque,Cundinamarca,U
Gacheta,Cundinamarca,U
Guayabal de Siquima,Cundinamarca,U
Susa,Cundinamarca,U
Vergara,Cundinamarca,U
Villagomez,Cundinamarca,U
