Municipio,Departamento,Primer aval 2011,Primer aval 2015
Agrado,Huila,PL,PC
Suaza,Huila,PL,PC
Colombia,Huila,PL,PL
Rivera,Huila,PL,U
Neiva,Huila,U,AV
Isnos,Huila,U,CD
La Argentina,Huila,U,CR
Saladoblanco,Huila,U,CR
Timana,Huila,U,OC
Tarqui,Huila,U,PC
Aipe,Huila,U,PL
Hobo,Huila,U,PL
Guadalupe,Huila,U,U
Fonseca,La Guajira,ASI,OC
Maicao,La Guajira,CR,CR
Albania,La Guajira,CR,OC
Manaure,La Guajira,CR,OC
Urumita,La Guajira,CR,OC
Villanueva,La Guajira,MIO,U
Riohacha,La Guajira,PL,CR
San Juan del Cesar,La Guajira,PL,CR
Barrancas,La Guajira,PL,OC
Distraccion,La Guajira,PL,PL
La Jagua del Pilar,La Guajira,PL,PL
Uribia,La Guajira,PL,PL
Dibulla,La Guajira,PL,U
El Molino,La Guajira,U,U
Hatonuevo,La Guajira,U,U
Fundacion,Magdalena,Afrovides,U
Pedraza,Magdalena,Aico,PL
Sitionuevo,Magdalena,ASI,U
El Banco,Magdalena,AV,CR
Chivolo,Magdalena,CR,CR
Guamal,Magdalena,CR,PL
Salamina,Magdalena,CR,PL
Puebloviejo,Magdalena,CR,U
Cerro San Antonio,Magdalena,MIO,U
Concordia,Magdalena,PC,CR
Zona Bananera,Magdalena,PC,CR
Algarrobo,Magdalena,PC,Firmas
Aracataca,Magdalena,PC,PC
Pijiño Del Carmen,Magdalena,PC,PL
Cienaga,Magdalena,PDA,PL
Plato,Magdalena,PIN,CR
Pivijay,Magdalena,PL,CR
San Zenon,Magdalena,PL,CR
Santa Barbara De Pinto,Magdalena,PL,CR
Santa Marta,Magdalena,PL,CR
Sabanas De San Angel,Magdalena,PL,OC
San Sebastian De Buenavista,Magdalena,PL,PL
Nueva Granada,Magdalena,U,CR
Ariguani,Magdalena,U,OC
El Reten,Magdalena,U,PL
Remolino,Magdalena,U,PL
Tenerife,Magdalena,U,PL
Zapayan,Magdalena,U,PL
