"mupio","depto","accionesMilitares","IDH_1_1"
"CHAGUANI","CUNDINAMARCA",14,0.610052
"CHIA","CUNDINAMARCA",0,0.707539
"CHIPAQUE","CUNDINAMARCA",1,0.62913
"CHOACHI","CUNDINAMARCA",1,0.643209
"CHOCONTA","CUNDINAMARCA",0,0.641867
"COGUA","CUNDINAMARCA",1,0.75846
"COTA","CUNDINAMARCA",0,0.715109
"CUCUNUBA","CUNDINAMARCA",0,0.638587
"EL_COLEGIO","CUNDINAMARCA",2,0.654784
"EL_PENON","CUNDINAMARCA",11,0.567257
"EL_ROSAL","CUNDINAMARCA",0,0.636501
"FACATATIVA","CUNDINAMARCA",0,0.686029
"FOMEQUE","CUNDINAMARCA",9,0.728497
"FOSCA","CUNDINAMARCA",1,0.602404
"FUNZA","CUNDINAMARCA",0,0.717277
"FUQUENE","CUNDINAMARCA",0,0.668002
"FUSAGASUGA","CUNDINAMARCA",6,0.657238
"GACHALA","CUNDINAMARCA",28,0.634963
"GACHANCIPA","CUNDINAMARCA",0,0.639851
"GACHETA","CUNDINAMARCA",10,0.638552
"GAMA","CUNDINAMARCA",3,0.614148
"GIRARDOT","CUNDINAMARCA",0,0.691992
"GRANADA","CUNDINAMARCA",1,0.638388
"GUACHETA","CUNDINAMARCA",0,0.631625
"GUADUAS","CUNDINAMARCA",19,0.611643
"GUASCA","CUNDINAMARCA",2,0.660328
"GUATAQUI","CUNDINAMARCA",1,0.613125
"GUATAVITA","CUNDINAMARCA",1,0.655954
"GUAYABAL_DE_SIQUIMA","CUNDINAMARCA",15,0.6333
"GUAYABETAL","CUNDINAMARCA",13,0.624972
"GUTIERREZ","CUNDINAMARCA",11,0.628662
"JERUSALEN","CUNDINAMARCA",1,0.615133
"JUNIN","CUNDINAMARCA",11,0.61822
"LA_CALERA","CUNDINAMARCA",2,0.695997
"LA_MESA","CUNDINAMARCA",0,0.65257
"LA_PALMA","CUNDINAMARCA",26,0.584185
"LA_PENA","CUNDINAMARCA",18,0.588074
"LA_VEGA","CUNDINAMARCA",0,0.625948
"LENGUAZAQUE","CUNDINAMARCA",0,0.629566
"MACHETA","CUNDINAMARCA",15,0.608636
"MADRID","CUNDINAMARCA",0,0.691685
"MANTA","CUNDINAMARCA",3,0.630152
"MEDINA","CUNDINAMARCA",30,0.621751
"MOSQUERA","CUNDINAMARCA",0,0.648572
"NARINO","CUNDINAMARCA",2,0.608869
"NEMOCON","CUNDINAMARCA",0,0.650561
"NILO","CUNDINAMARCA",0,0.693941
"NIMAIMA","CUNDINAMARCA",5,0.60342
"NOCAIMA","CUNDINAMARCA",6,0.623405
"PACHO","CUNDINAMARCA",1,0.628403
"PAIME","CUNDINAMARCA",0,0.585736
"PANDI","CUNDINAMARCA",1,0.618596
"PARATEBUENO","CUNDINAMARCA",3,0.635023
"PASCA","CUNDINAMARCA",7,0.629175
"PUERTO_SALGAR","CUNDINAMARCA",0,0.669536
"PULI","CUNDINAMARCA",8,0.625043
"QUEBRADANEGRA","CUNDINAMARCA",2,0.597834
"QUETAME","CUNDINAMARCA",1,0.620023
"QUIPILE","CUNDINAMARCA",3,0.59543
"APULO","CUNDINAMARCA",0,0.615479
"RICAURTE","CUNDINAMARCA",2,0.729293
"SAN_ANTONIO_DEL_TEQUENDAMA","CUNDINAMARCA",2,0.648293
"SAN_BERNARDO","CUNDINAMARCA",11,0.604382
"SAN_CAYETANO","CUNDINAMARCA",0,0.626766
"SAN_FRANCISCO","CUNDINAMARCA",0,0.597903
"SAN_JUAN_DE_RIOSECO","CUNDINAMARCA",14,0.611182
"SASAIMA","CUNDINAMARCA",2,0.651255
"SESQUILE","CUNDINAMARCA",2,0.669255
"SIBATE","CUNDINAMARCA",2,0.699961
"SILVANIA","CUNDINAMARCA",6,0.625284
"SIMIJACA","CUNDINAMARCA",0,0.647504
"SOACHA","CUNDINAMARCA",2,0.64095
"SOPO","CUNDINAMARCA",0,0.762925
"SUBACHOQUE","CUNDINAMARCA",0,0.680643
"SUESCA","CUNDINAMARCA",0,0.644125
"SUPATA","CUNDINAMARCA",2,0.596374
"SUSA","CUNDINAMARCA",0,0.645381
"SUTATAUSA","CUNDINAMARCA",0,0.636194
"TABIO","CUNDINAMARCA",0,0.654661
"TAUSA","CUNDINAMARCA",1,0.633566
"TENA","CUNDINAMARCA",0,0.644976
"VENECIA","CUNDINAMARCA",0,0.607191
"TENJO","CUNDINAMARCA",0,0.751441
"TIBACUY","CUNDINAMARCA",2,0.625976
"TIBIRITA","CUNDINAMARCA",0,0.615558
"TOCAIMA","CUNDINAMARCA",16,0.635449
"TOCANCIPA","CUNDINAMARCA",0,0.916961
"TOPAIPI","CUNDINAMARCA",0,0.566825
"UBALA","CUNDINAMARCA",2,0.621352
"UBAQUE","CUNDINAMARCA",0,0.617599
"UNE","CUNDINAMARCA",4,0.630846
